				
Study[]	r[]	trt[]	n[]	bsl[]
1	79	1	623	1
1	77	2	694	1
2	18	1	653	1
2	21	2	535	1
3	8	1	108	1
3	19	2	146	1
4	75	1	656	1
4	363	3	714	1
5	2	1	104	1
5	9	3	205	1
6	58	1	491	1
6	237	3	1561	1
7	0	1	33	1
7	9	3	48	1
8	3	1	97	1
8	31	3	98	1
9	1	1	30	1
9	26	3	95	1
10	6	1	33	1
10	17	3	77	1
11	64	1	578	1
11	107	3	761	1
12	5	1	57	1
12	8	3	90	1
13	20	1	214	1
13	34	3	237	1
14	95	1	1012	1
14	124	3	1031	1
15	15	1	172	1
15	35	3	504	1
16	78	1	506	1
16	73	3	675	1
17	69	1	1177	1
17	54	3	888	1
18	23	3	140	3
18	10	4	138	3
19	0	1	20	1
19	9	4	20	1
20	20	2	49	3
20	16	3	43	3
21	12	3	85	3
21	29	4	170	3
22	32	4	127	3
22	7	2	66	3
23	12	3	76	3
23	20	4	74	3
24	9	3	55	3
24	3	4	26	3
